;timestamp;laser_x;laser_y;motor_position;motor_velocity;motor_current,,,,,,,,,,,,,,,,,,,
0;1.9073486328125e-06;339.345;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
1;1.0002892017364502;339.346;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
2;2.001431941986084;339.344;128.051;-19;0;17,,,,,,,,,,,,,,,,,,,
3;3.001563310623169;339.341;128.051;-19;0;60,,,,,,,,,,,,,,,,,,,
4;4.002432823181152;339.338;128.051;-19;0;17,,,,,,,,,,,,,,,,,,,
5;5.002924919128418;339.343;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
6;6.004033088684082;339.343;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
7;7.004429340362549;339.346;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
8;8.005577325820923;339.345;128.051;-19;0;6,,,,,,,,,,,,,,,,,,,
9;9.006241083145142;339.344;128.052;-19;0;17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Laser y 
,,,,,,,,,,,,,,,,,,,128.05
